"","Iplant_Double","Month","Year","Transect_R","Hummingbird","Camera","Day","Bird","Plant","Yobs","DateP","ID","Elev","Traitmatch","Flowers","Month.a","jBird","jPlant","jCamera"
"115","Besleria solanoides",11,"2014","1700_1900","Tawny-bellied Hermit","33",1,11,24,0,"2014-11-06","FH1207",NA,2.44,0.86944102654245,"Nov",15,2,33
"116","Besleria solanoides",11,"2014","1700_1900","Wedge-billed Hummingbird","194",1,6,24,0,"2014-11-06","FH725",NA,0.233,0.86944102654245,"Nov",17,2,194
"117","Besleria solanoides",11,"2014","1700_1900","Violet-tailed Sylph","194",1,14,24,3,"2014-11-06","FH725",1860,0.001,0.86944102654245,"Nov",16,2,194
"118","Besleria solanoides",11,"2014","1700_1900","Booted Racket-tail","137",1,8,24,4,"2014-11-06","FH527",1750,0.331,0.86944102654245,"Nov",2,2,137
"119","Besleria solanoides",11,"2014","1700_1900","Purple-bibbed Whitetip","137",1,7,24,0,"2014-11-06","FH527",NA,0.307,0.86944102654245,"Nov",12,2,137
"120","Besleria solanoides",11,"2014","1700_1900","Tawny-bellied Hermit","137",1,11,24,0,"2014-11-06","FH527",NA,2.44,0.86944102654245,"Nov",15,2,137
"121","Besleria solanoides",11,"2014","2100_2300","Violet-tailed Sylph","79",1,14,24,0,"2014-11-19","FH226",NA,0.001,0.526124978027773,"Nov",16,2,79
"122","Besleria solanoides",11,"2014","2100_2300","Booted Racket-tail","79",1,8,24,3,"2014-11-19","FH226",2120,0.331,0.526124978027773,"Nov",2,2,79
"123","Besleria solanoides",11,"2014","2100_2300","Green-fronted Lancebill","79",1,15,24,0,"2014-11-19","FH226",NA,1.636,0.526124978027773,"Nov",10,2,79
"124","Besleria solanoides",11,"2014","2100_2300","Tawny-bellied Hermit","79",1,11,24,0,"2014-11-19","FH226",NA,2.44,0.526124978027773,"Nov",15,2,79
"125","Besleria solanoides",12,"2014","1900_2100","Green-crowned Brilliant","114",1,10,24,0,"2014-12-02","FH428",NA,0.554,0.071739321497627,"Dec",9,2,114
"126","Besleria solanoides",12,"2014","1900_2100","Purple-bibbed Whitetip","114",1,7,24,0,"2014-12-02","FH428",NA,0.307,0.071739321497627,"Dec",12,2,114
